Akh Va'quot
Ishto Soh
Bosh Kala
Bareeda Naag
Voo Lota
Kah Okeo
Goma Asaagh
Ka'o Makagh
Qaza Tokki
Katah Chuki
Katosa Aug
Maka Rah
Kam Urog
Kah Mael
Kaya Wan
Ketoh Wawai
Keeha Yoog
Kema Kosassa
Kema Zoos
Qukah Nata
Qua Raym
Keo Ruug
Korsh O'hu
Zalta Wa
Gorae Torr
Kuh Takkar
Korgu Chideh
Daqo Chisay
Kuhn Sidajj
Ke'nai Shakah
Kayra Mah
Kay Noh
Shai Utoh
Soh Kofi
Sasa Kai
Saas Ko'sah
Sah Dahaj
Sheh Rata
Shae Katha
Sho Dantu
Ze Kasho
Sheem Dagoze
Shoqa Tatone
Jitan Sa'mi
Jee Noh
Shee Venath
Shee Vaneer
Shae Mo'sah
Shae Loya
Sha Gehma
Shada Naw
Sha Warvo
Joloo Nah
Shai Yota
Shoda Sah
Shora Hah
Suma Sahma
Dow Na'eh
Daqa Koh
Dah Kaso
Dagah Keek
Dako Tah
Daka Tuss
Daag Chokah
Dah Hesho
Tah Muhl
Ta'loh Naeg
Tawa Jinn
Tahno O'ah
Chaas Qeta
Tutsuwa Nima
Zuna Kai
Tena Ko'sah
Dila Maag
Tu Ka'loh
Dunba Taag
Tho Kayu
To Quomo
Toto Sah
Toh Yahsa
Namika Ozz
Noya Neha
Ne'ez Yohma
Gee Ha'rah
Ha Dahamar
Hawa Koth
Hia Miu
Hila Rao
Pumaag Nitae
Kah Yah
Maag No'rah
Maag Halan
Misae Suma
Mijah Rokee
Myahm Agana
Mozo Shenno
Mezza Lo
Mirro Shaz
Muwo Jeem
Mo'a Keet
Mogg Latan
Monya Toma
Yah Rin
Kaam Ya'tak
Ya Naga
Raqa Zunzo
Lanno Kooh
Rok Uwog
Lakna Rokee
Ree Dahee
Ritaag Zumo
Rin Oyaa
Rucco Maag
Rota Ooh
Rona Kachta
Wahgo Katta
